阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
,高血压患者脉象仪参数与肱动脉踝动脉脉搏波波速相关性研究,"原发性高血压,脉搏波传播速度,脉象仪,统计学",同上,福建中医药大学硕士学位论文,2013,在该硕士论文中找到了上面一篇期刊中不知道什么含义的脉象参数、临床符号等，和上面期刊得出的结论一样；关于脉象参数的具体含义，可以参考一个word文档,4,,,
,查脉搏波PWV早发现心脏病变,,,健康报,2006,得出脉搏波波速PWV是显示血管弹性的一个重要指标，可以作为动脉粥样硬化的一个早期检测与预防的依据；并指出正常时，pwv较低，随年龄增长会增高，该文还列出了和pwv相关的一些指数,3,,,
2018/9/30,基于小波变换的脉搏波传导速度测量研究,脉搏波速;小波去噪;脉搏波传导时间,"脉搏波波速是衡量心血管病变的重要指标,对血压的测量以及心血管病的防治有重大意义。本文将利用小波变换法去除脉搏波信号中的噪声干扰,小波重构后对脉搏波参考点的选取准确度大幅提高,提高了测量精度,并具有较高的稳定性和重复性。",数学技术与应用,2017,可借鉴该文的测量脉搏波波速的实验方法：测量左大臂一定距离处的两个脉搏波，根据波形特征点计算得出波速,2,,,
,血液粘弹性对动脉中脉搏波传播的影响,动脉;脉搏波;血液;粘弹性,"以Womersley理论为基础,将动脉中脉搏波复波速所满足的频率方程推广到粘弹血液情形,得到了线性粘弹血管和线性粘弹血液情况下脉搏波复波速的一般关系式·应用此关系式,讨论了血液粘弹性对动脉中脉搏波波速和波的衰减的影响·结果表明,血液弹性对脉搏波传播的影响小于血管粘性的影响;对大动脉,血液弹性对脉搏波传播的影响可忽略·","应用数学和力学,第21卷第9期(2000年9月)AppliedMathematicsandMechanics",2000,得出结论：血管弹性对脉搏波波速的影响小于血管粘性对脉搏波波速的影响，可忽略不计；该文有大量的推导公式，没仔细看,1,,,
2018/10/1,,,,,,,,,,
2018/10/2,,,,,,,,,,
2018/10/19,大联大友尚集团推出贝特莱无袖带血压监测解决方案,,,,2018,收集心电与脉搏波信号，通过BLE、WIFI等上传，提取出人体的动脉血压、心率、心电等生理指标；pwtt与血压的函数关系推算出的电压。,,,,
,宇航员生理状态实时监测系统的设计与实现,宇航员；心冲击信号；心电信号；模板匹配；心率变异性,通过课题的研宄，取得了以下成果：（１）搭建了多生理信号联合采集系统；（２）建立了信号处理和联合分析的方法；（３）探宄了心冲击信号的医学应用前景。,天津工业大学硕士论文,2018,主要借鉴其算法步骤和血压模型,4, ,,
2018/10/20,,,,,,,,,,
2018/10/21,,,,,,,,,,
2018/10/22,丰田开发身体状况监测系统,,,,,利用方向盘测量心电、脉搏波；通过在方向盘上放置心电电极和检测脉搏波的光电传感器实现,,,,
,一种智能可穿戴式心率心电监测装置,,,专利,2016,其可穿戴心率心电监测装置将电极使用 导电纤维 内嵌到衣服上，包括文胸等，其与主机的连接方式为四合扣或接触顶针。,3,,,
,测试心脏运动功能的设备、系统和方法,,,专利,2015,引入了心率运动反应能力、心脏变时指数、运动心率恢复等心肺功能指标，并罗列其计算方法。,2,,,
,柔性导电纤维在智能可穿戴装备中的研究进展,柔性电极；纳米纤维；复合导电材料；可穿戴设备,服装作为智能可穿戴设备的理想载体，其在满足质轻、高柔韧性、导电功能等市场需求的同时，也使柔性导电纤维得到了广泛关注并取得了实质性研究进展。文章回顾了以往对柔性电极的相关研究，并对现阶段柔性导电纤维的原料、制备方法、应用等进行了具体介绍，最后总结并展望了柔性导电纳米纤维在智能可穿戴产品中的应用前景，并提出当前可穿戴装备在健康监管、产品性能、织物服用性等方面还需进一步研发改善。,纤维技术,2018,该文介绍了各种导电纤维材料的类别、制作方法以及对其应用的综述：电容储存能量（可用于设备的供电）、发电介质、传感设备（运动监测等）、发热；其中可利用浸渗的方法将导电介质灌注至织物中作为心电电极测量心率等指标。,3,,,
,智能纺织品在运动健身领域前景广阔,,,头条,,介绍了运动健身领域对智能纺织材料的应用前景：国内技术不计国外时长，购置成本高；关键技术有待完善。,2,,,
,Human Pulse Diagnosis for Medical Assessments Using a Wearable Piezoelectret Sensing System,,"Real-time and continuous monitoring of physiological signals is essential for mobile health, which is becoming a popular tool for effcient and convenient medical services. Here, an active pulse sensing system that can detect the weak vibration patterns of the human radial artery is constructed with a sandwich-structure piezoelectret that has high equivalent piezoelectricity. The high precision and stability of the system result in possible medical assessment applications, including the capability to identify common heart problems (such as arrhythmia); the feasibility to conduct pulse palpation measurements similar to well-trained doctors in Traditional Chinese Medicine; and the possibility to measure and read blood pressure.",Health Monitoring,2018,其研制的压电材料传感：1. 设备识别一般的心脏问题；2. 模拟中医脉诊；3. 测量血压。（2018.10.31update）总结：该文设计了mHealth可穿戴脉搏波测量设备，具有高精度和稳定性的特点，并且可实现利用脉搏波进行身份识别，医疗上可实现心律不齐的初步诊断和测量血压，其传感器的放置位置刚好为寸关尺，即传统中医的把脉的位置，由于这三个位置的脉象对应不同的生理含义，该装置可模拟中医诊脉。其中对脉搏波数据的处理过程可回看。,4,,,
2018/10/23,基于手部心电信号的身份识别研究,手部心电信号；身份识别；手握式无线心电采集装置；ECG-ID实验平台,,天津理工大学硕士学位论文,2016,研制了手握式的心电采集装置，电极材料选用织物；滤波过程值得借鉴，切比雪夫用于高频干扰的去除、中值滤波去基线漂移以及直线滑动平均滤波去除不规律波形，三种滤波方法都有详细介绍；其身份识别特征采用RR间期，方法为相关系数和SVM分类；另外其平台的搭建和目标的构想值得借鉴,5,,,
2018/10/24,手持式多生理参数采集系统的研究与设计,手持技术；多生理参数；血氧饱和度；实时处理；抗干扰；集成化,,天津工业大学硕士论文,2018,该文设计了多生理参数采集系统，包括心电、血压、血氧饱和度和温度。可通过usb、蓝牙和wifi传输，该文对硬件框架的搭建和设计有着详细地介绍，并且对该系统进行各项测试：包括电气性能测试、医疗标准测试、整体可靠性和抗干扰测试。其中医疗标准测试采用三种模拟仪：血压、血氧和心电模拟仪设定已知的参数，再对该系统实际测得的参数进行评估。最终结论是该系统满足药监局各项标准。,5,,,
,一种手握式无线心电信号采集系统,手握式;心电信号;织物电极,"传统心电信号多采用胸前导联的方式采集,采集方式的不便性使心电信号在安全认证等方面的应用受到限制.本文提出一种手握式无线心电采集系统,实现心电信数据的便捷采集.系统利用织物电极取代传统粘性电极,采用手握方式增大电极与皮肤的接触面积,降低接触阻抗、提高传导能力;利用蓝牙通信实现心电数据的无线传输.本文从采集信号质量、医学特征点分析等方面,对使用本系统采集的手部心电信号与胸前导联采集的心电信号进行了对比分析,实验结果表明,本文手握式采集的心电数据与标准Ⅰ导联心电数据相对应,信号质量的标准性和稳定性均能达到传统采集的标准,满足便捷心电采集的实用要求.",天津理工大学学报,2017,同上,4,,,
2018/10/25,新疆维吾尔族自然长寿老人加速度脉搏波研究,加速度脉搏波 维吾尔族 长寿 动脉硬化,"目的 探讨新疆和田地区维吾尔族自然长寿老人加速度脉搏波(APG)可能的影响因素。 方法 以新疆和田地区 120 例维吾尔族自然长寿个体(≥90 岁)为研究对象(长寿组),以 53 例 70 岁前自然死亡的同地区、同民族个体作为对照组。 对其进行查体,并行动态血压、加速度脉搏波、血脂、血糖等检查。 结果 年龄、体质指数、高密度脂蛋白胆固醇、b/a、c/a、d/a 及△年龄 (血管推定年龄-实际年龄) 在长寿组与对照组之间的差异有统计学意义 (P <0.05),长寿组血管弹性及静脉血液循环优于对照组,24 h 动态收缩压、24 h 动态舒张压、总胆固醇、低密度脂蛋白胆固醇、甘油三酯、空腹血糖及 e/a 在长寿组与对照组的差异无统计学意义(P > 0.05);年龄、体质指数、高密度脂蛋白胆固醇均可影响△年龄。 结论 长寿组动脉硬化程度较对照组明显,但动脉硬化的进程较为缓慢,保持相对良好的血管弹性可能是长寿原因之一。",北京医学,2013,该文调查了维族数百位95+老人的血管硬化程度和动脉粥样硬化程度，通过五十多位70岁自然死亡的老人对照，主要分析的参数依据加速度脉搏波APG，得出APG可以较好地反映动脉弹性和粥样硬化程度的结论；提出delta年龄的概念：血管推定年龄和实际年龄的差。这个参数可反映一个人相较同龄人的血管情况。,5,,,
,Assessment of peripheral vascular endothelial function with finger arterial pulse wave amplitude,,Background： Abnormalities in pulse wave amplitude (PWA) have been described in subjects with atherosclerosisand may be a marker of future cardiac events. We evaluated the relationship between changes in PWA of the finger and peripheral endothelial function.,American Heart Journal,2002,本文采用新型手指容积描记法（外周动脉张力测量法PAT），和无创外周血管内皮功能臂从动脉超声扫描BAUS测得的数据进行对比，以证明前者的可行性,3,,,
,压电式加速度脉搏传感器的研制,脉搏测 量 脉搏传感 器 滤波,"“ 切脉 ” 是 中医诊断的一种 主要手段 , 其准确度常常受 医 师的 主观 因素的 影 响 。 介绍 了 一 种检刚脉搏信 号的传感器 , 给 出了传 感 器的 处理 电路及干扰滤波 方法",西 南 科 技 大 学 学 报,2004,脉搏波的探测可分光电容积描记法、力学传感器和加速度传感器，该文设计了用加速度传感器设计脉搏波采集系统的方法，据介绍，效果未能达到医疗级别,1,,,
,Augmentation Index Derived from Peripheral Arterial Tonometry Correlates with Cardiovascular Risk Factors,,"Background. Augmentation index (AIx) is traditionally obtained from pressure waveforms via arterial applanation tonometry. Wesought to evaluate the association between AIx obtained from peripheral arterial tonometry (PAT) with cardiovascular risk factors(CRF) and coronary artery disease (CAD). Methods. 186 patients were enrolled in the study. The presence or absence of CRFs andCAD was assessed in each subject. AIx was calculated by an automated algorithm averaging pulse wave amplitude data obtained viaPAT. Central blood pressures were assessed in a subset of patients undergoing clinically indicated cardiac catheterization. Results.An association was observed between AIx and age, heart rate, systolic blood pressure, mean arterial pressure, pulse pressure, bodyweight and body mass index. AIx was significantly lower in patients with <3 CRFs compared to those with >5 CRFs (P = .02).CAD+ patients had significantly higher AIx compared to CAD? patients (P = .008). Area under the ROC curve was 0.604 (P <.01). In patients undergoing cardiac catheterization, after adjusting for age, height and heart rate, AIx was a significant predictorof aortic systolic and pulse pressures (P < .05) Conclusion. AIx derived from PAT correlates with cardiac risk factors and CAD. Itmay be a useful measure of assessing overall risk for coronary artery disease.",Cardiology Research and Practice,2011,增强指数AIx的概念：中心动脉压在反射脉搏波的占比。中心动脉压的含义：动脉根的血压。测量方法：外周血压估计。该文对心血管疾病高危患者（根据其含有的风险症状的个数分类）和冠状动脉疾病患者的脉搏波进行测量，对比及分析，最终得出了用这种无创的方法估计出的中心动脉压/增强指数，与标准测量的相关性很大，证明是该测量方法是可行的,5,,,
2018/10/26,,,,,,,,,,
2018/10/30,,,,,,,,,,
2018/10/31,增强指数评价大动脉僵硬度的数学缺陷,动脉僵硬度; 增强指数; 糖尿病; 腹膜透析; 数学推理,"目的 通过3个研究探讨增强指数(AIx)在动脉僵硬度评估方面的有效性。 方法 选取156名持续性非卧床腹膜透析(CAPD)患者为研究对象,根据是否患有糖尿病分为两组,测量患者的 AIx;运用数学推理方法来验证 AIx的有效性;运用临床数据来验证 AIx公式的价值。 结果 糖尿病 CAPD患者的 AIx比非糖尿病患者低(犘<0.05),这与预期结果完全相反。 进一步研究显示 AIx与外周脉压(PP)之间只存在弱相关性,研究也发现中心增强压力(AP)一般随着中心脉压(CPP)的变化而变化。 而在 AIx的计算公式中,AP 和 CPP 分别作为其中的分子和分母,如果分母不确定,分子的增大并不能决定商必然增大。 第2个研究通过数学推理的方法来验证 AIx的有效性,数学推理显示,AIx是一个多因素决定的数值 犉=(ΔSBP-ΔDBP)×[心脏射血波峰(P1)-反射波波峰(P2)]+(ΔP2-ΔP1)×[SBP(收缩压)-DBP(舒张压)],提示其可能并非总是随着 P2和 AP的变化而变化,此结果在第3个研究中得到证实。 结论 AIx可能并非反映中心压力波形改变的敏感指标,而只是大动脉功能改变的一种表现,其局限性源于计算公式存在数学缺陷。",中华高血压杂志,2009,心血管疾病的危险因素包括：糖尿病、高血脂、吸烟、左室肥厚等；该文得出增强指数AIx并非评估动脉血管僵硬程度的最佳指标，而数学推理反射波波峰P2是动脉僵硬程度的主要表现之一。其中的数学研究方法值得探讨，虽然没有看懂。,2,,,
,Central blood pressure: current evidence and clinical importance,Central pressure ； Blood pressure ； Anti-hypertensive treatment ； Cardiovascular risk,"Pressure measured with a cuff and sphygmomanometer in the brachial artery is accepted as an important predictor of future cardiovascular risk. However, systolic pressure varies throughout the arterial tree, such that aortic (central) systolic pressure is actually lower than corresponding brachial values, although this difference is highly variable between individuals. Emerging evidence now suggests that central pressure is better related to future cardiovascular events than is brachial pressure. Moreover, anti-hypertensive drugs can exert differential effects on brachial and central pressure. Therefore, basing treatment decisions on central, rather than brachial pressure, is likely to have important implications for the future diagnosis and management of hypertension. Such a paradigm shift will, however, require further, direct evidence that selectively targeting central pressure, brings added benefit, over and above that already provided by brachial artery pressure.",European Heart Journal,2014,一篇中心动脉压的综述性文章：中心动脉压实际上比肱动脉压要低，而二者的对应关系受身高、年龄、性别、心率等影响，没有一个固定的线性关系。因此目前的对袖带测量的血压作为依据诊断不准确，这个结论是分析了1000名志愿者肱动脉和中心动脉压的差异得出的。该文认为，血流传播系统由两部分构成，前向波和后向波，一个由心室射血驱动，另一个则是尖端和僵硬程度等造成的阻抗带来的反射。总结了目前的无创血压测量设备估计中心动脉压的方法，以及设备，大多基于脉搏波波形通过公式计算得出，包括颈动脉、桡动脉、袖带血压波形。阐述了中心动脉压的重要性。,4,,,
2018/11/1,,,,,,,,,,
2018/11/2,,,,,,,,,,
2018/11/3,《中国心血管病报告2017》概要,关键词 心血管病；危险因素；患病率；死亡率,我国心血管病（CVD）防治工作已取得初步成效，但仍面临严峻挑战。总体上看，中国 CVD 患病率及死亡率仍处于上升阶段。推算 CVD 现患人数 2.9 亿，其中脑卒中 1 300 万，冠心病 1 100 万，肺原性心脏病 500 万，心力衰竭 450 万，风湿性心脏病 250 万，先天性心脏病 200 万，高血压 2.7 亿。CVD 死亡占居民疾病死亡构成 40% 以上，居首位，高于肿瘤及其他疾病。近几年来农村 CVD 死亡率持续高于城市水平。2004 年至今，心脑血管病住院费用年均增速远高于国内生产总值增速。中国 CVD 负担日渐加重，已成为重大的公共卫生问题，防治 CVD 刻不容缓。,,,权威数据查阅,4,,,
,深圳市心脑血管疾病研究报告2015,,,,,危险因素、防治策略、早期预警诊断技术等，其中动态心电监护可筛查心律失常，评估药效等；另外还有药物研发的国内外市场；病理生理疗法；信息化管理等进行国内外调研和项目征集,3,,,
2018/11/4,,,,,,,,,,
2018/11/5,动态心电图在冠心病心律失常中的诊断效果,动态心电图;冠心病;心律失常;诊断效果,"目的: 观察分析动态心电图在冠心病心律失常患者疾病诊断上的临床应用效果。 方法: 将我院 2017 年 8 月—2017 年 12 月期间来我院就诊的 38 例,随机分为对照组和观察组,对照组(19 例) , 观察组(19 例) 。 对照组使用传统的心电图诊断方法,观察组则使用动态心电图诊断方法,将两组对冠心病心律失常诊断结果进行比较分析。 结果: 通过比较发现,对照组使用传统心电图诊断误差大,诊断为心律失常的数量远低于观察组,观察组使用动态心电图诊断率高、误差小,两组存在明显差异,具有统计学意义( P < 0.05)。 结论: 对于确诊冠心病心律失常,动态心电图检测率高,能有效的诊断出疾病,在临床应用中有很好的效果,是冠心病心律失常疾病诊断的重要方法之一。",影像研究与医学应用,2018,"本文研究动态心电图检测心律失常和冠心病确诊率同普通心电检测对比，得出动态心电图检测检出率更高，效果更好的结论；方法为医院的病人分为对照组和观察组，对照组用普通心电诊断方法，即出一个心电图纸，观察组24h连续监测；心律失常的指标：传统： T 波小于同导联 R 波的 1/10,ST段下移大于 0.05mV；动态：ST 段下降大于 0.1mV,下移时间大于 1mms。该文并未指出心律失常的临床定义",2,,,
,心电图与动态心电图诊断小儿心律失常的临床对比研究,心电图;动态心电图;小儿;心律失常;检出率,"目的 对比研究常规心电图与动态心电图诊断小儿心律失常的临床应用价值。方法 回顾性分析 2017 年 1 月~2017 年 12 月本院收治的 100 例心律失常患儿作为研究对象,所有患儿同时接受常规心电图与动态心电图检查,分析检查结果,对比两种检查方法对小儿各种心律失常检出情况。结果 在心律失常检出率方面,常规心电图和动态心电图分别为 53.00%(53/100)、71.00%(71/100),动态心动图心律失常检出率显著高于常规心电图,差异有统计学意义(P<0.05)。两种检查方法在窦性心律不齐和传导阻滞型心律失常的检出律率方面比较差异无统计学意义,而动态心电图在小儿室上性心动过速及室性期前收缩的检出率方面显著高于常规心电图,差异有统计学意义(P<0.05)。结论 动态心电图对小儿在心律失常的检出及分型诊断方面优于常规心电图,临床应用价值更高。",当代医学,2018,该文研究传统心电检测与动态心电检测对小儿心律不齐的检出率效率的差别，与上文不同的是，其同时对患儿进行传统和动态心电检测，对比两种方法的检出效率。关于心律不齐的临床标准有所阐述：小儿（包括几个年龄段）心率每分钟小于多少次为窦性心率过缓，大于多少次为。。过速，另外，心律不齐在心电图上的表现为：PP间期在同一导联相差大于0.12s（呼气时候心率缓慢、吸气时候心率过速）；室上性心动过速：3个或以上室上性早搏；传导阻滞：Ⅰ度房室阻滞：PR间期大于正常范围或较之前慢0.04s；Ⅱ度房室阻滞：夜间PR间期逐渐延长直至QRS波消失（心室脱落），发生该心室脱落RR间距小于2个PP间距；室性期前收缩：QRS波提早出现；房性期前收缩：P波提早出现,3,,,
,甲状腺疾病与心律失常,甲状腺功能亢进症；甲状腺功能减退症；心律失常；心电图,"甲状腺疾病主要包括甲状腺功能亢进症(甲亢)和甲状腺功能减退症(甲减),易合并各类心律失常。 其中,甲亢最常见的心电图改变为房颤和窦性心动过速;甲减最常见的心电图表现为窦性心动过缓和 QRS 低电压。 在临床工作中,了解甲状腺疾病的心电图改变,有助于预防和治疗甲状腺疾病患者心血管方面的并发症,为患者的临床诊断、疗效评估提供帮助,有助于患者早日康复。",实用心电学杂志,2018,"该文说明甲状腺疾病--甲亢和甲减，的心电图解析，由于甲亢是甲状腺激素分泌过剩，其临床表现为代谢加快，引起窦性心动过速及其他心电表现，相反，甲减造成代谢障碍，引发窦性心动过缓等相关心电表现，建议甲状腺疾病患者定期进行心电图检查；另外，有研究对140例甲亢患者的心电图总结：有不同的异常表现。另研究表明,电复律治疗后,甲亢相关性房颤比非甲亢相关性房颤复发率低36%",2,,,
,动态心电图对冠心病患者心律失常的诊断价值,动态心电图；常规心电图；冠心病；心律失常；诊断价值,"目的 探讨动态心电图对冠心病患者心律失常的诊断价值。 方法 选取 2016 年 11 月至 2018 年 2 月许昌市第二人民医院收治的 40 例冠心病心律失常患者。 40 例患者均符合冠心病和心律失常的诊断标准,同时接受常规心电图和动态心电图检查。 比较两种检查方式的诊断结果。 结果 常规心电图检出心律失常 26 例,阳性检出率为 65. 0% ;动态心电图检出心律失常 38 例,阳性检出率为 95. 0% 。 动态心电图心律失常阳性检出率高于常规心电图,差异有统计学意义(P < 0. 05)。 动态心电图对房性早搏二、三联律,室性早搏二、三联律,房性早搏成对,室性早搏成对,短阵室上速的检出率均高于常规心电图,差异有统计学意义(均 P < 0. 05)。 结论 动态心电图与常规心电图检查方式比较,动态心电图检查优势显著,能够有效对患者冠脉缺血状况、心律失常发作的时间、频率等进行检出,可准确且精细对患者心电信号进行监测,值得临床推广与应用。",河南医学研究,2018,"同样验证实时心电监护的有效性。冠心病属于临床常见的慢性疾病,临床主要表现为心律失常、心绞痛等",1,,,
,比索洛尔治疗冠心病快速性心律失常的临床效果,比索洛尔；冠心病快速性心律失常；治疗效果,"目的 探究比索洛尔治疗冠心病快速性心律失常的临床效果。方法 选取2016年1月至2017年1月来某院治疗冠心病快速性心律失常患者90例作为研究对象,运用随机数表法分为观察组和对照组各45例,对照组采用美托洛尔治疗,观察组采用比索洛尔治疗,观察两组临床治疗总有效率、治疗后患者心率以及复发率。结果 观察组患者治疗总有效率为95.56%,对照组治疗总有效率为80.00%;治疗后观察组心律改善较为显著;随访12个月后,观察组复发率为4.44%,对照组复发率为17.78%,观察组明显优于对照组,差异具有统计学意义(P<0.05)。结论 在冠心病快速性心律失常治疗中使用比索洛尔效果显著,治疗有效率高,患者心律明显降低,治疗后复发率低。",中国疗养医学,2018,为验证一种药物对心律不齐改善和复发的有效性研究，对比另外一种药物，观察其复发率，总有效率，患者治愈后心率。,1,,,
,不同年龄心血管疾病患者的动态心电图特征比较,心血管疾病；年龄；动态心电图；心肌缺血；心律失常,"目的 分析不同年龄心血管疾病患者的动态心电图特征。方法 将某院2016年10月至2017年9月收治的94例心血管疾病患者根据所处年龄阶段的不同分为观察1组(年龄≥60岁)、观察2组(年龄<60岁),收集两组患者24 h动态心电图监测资料,比较两组患者动态心电图特征。结果 观察1组缺血性ST 段改变出现率为81.13%,与观察 2 组的 75.61%比 较 差 异 无 统 计 学 意 义 (χ2=0.421, P>0.05),缺血性 ST 段 改 变 出 现 时 间 为00:00—08:00时患者的构成比为81.40%,高于观察2组的54.84%(χ2=6.081, P<0.05),其中无症状心肌缺血患者的构成比为62.79%,高于观察2组的38.71%(χ2=4.191, P<0.05)。心律失常方面,观察1组窦性心律失常、室性心律失常、房性心律失常、复杂性心律失常出现率分别为47.17%、18.87%、15.09%、9.43%,高于观察2组的26.83%、4.88%、2.44%、0%(χ2=4.048, χ2=4.063, χ2=4.276, χ2=4.085;P均<0.05)。结论 不同年龄阶段的心血管疾病患者动态心电图表现存在明显差异,进行动态心电图监测能够更加全面的掌握不同年龄患者的疾病发展情况,为患者疾病诊治提供更多客观参考依据。",中国疗养医学,2018,根据年龄将心血管疾病患者分为两组，统计分析其心电图特征：各种症状的表现均存在明显差异。其中心肌缺血的三个表现：① ST段水平型下移或下斜型下移至少1.0 mV; ② ST段改变持续时间至少1 min;三、 下次ST段改变需在前次ST段改变恢复基线时间超过1 min。上述三个条件同时具备即确诊心肌缺血。,2,,,
,机械胸外心脏按压在急诊心脏骤停患者救治中的应用效果分析,心脏骤停；急诊；机械胸外心脏按压；心肌损伤,"目的 分析机械胸外心脏按压在急诊心脏骤停患者救治中的应用效果。 方法 选取 2015 年 2 月至 2017 年 6月郑州大学第一附属医院急诊科收治的 84 例心脏骤停患者,对照组 42 例接受人工胸外心脏按压,观察组 42 例接受机械胸外心脏按压。 比较两组抢救效果与心肌损伤情况。 结果 两组短时间复苏成功率和总复苏成功率比较,差异无统计学意义(P > 0. 05)。 观察组自主循环恢复时间[(18.12 ± 2. 07) min] 短于对照组[(25. 37 ± 2. 86) min],复苏首阶段自主心率存续时间[(6. 40 ± 0. 81)min]长于对照组[(3. 93 ± 0. 47)min],差异有统计学意义(P < 0. 05)。 复苏后,两组血清cTnⅠ、CK 水平均上升,观察组低于对照组,差异有统计学意义(P < 0. 05)。 结论 机械胸外心脏按压救治急诊心脏骤停患者可快速恢复其自主循环,延长复苏首阶段自主心率,降低心肌损伤,提升复苏效果。",河南医学研究,2018,该文研究心脏骤停患者中机械胸外心脏按压救治的有效性，对照组为人工胸外按压救治心脏骤停患者，就治疗后的恢复情况和损伤情况进行统计，最终，因机械胸外心脏按压具有按压快速且柔和、压力稳定、按压深度精确等优势，且其按压部位稳固，能有效救治患者。,2,,,
,远程心电监测成功预警高危心律失常2例,心血管病学;远程心电监测;猝死;室性心动过速;房室传导阻滞,"1例为青年女性,30岁,反复心悸5年. 另1例为中年男性,44岁,反复晕厥2年. 均因佩戴远程心电监测系统及时发现阵发性室性心动过速和间歇性三度房室传导阻滞而得到有效救治.",中国心脏起搏与心电生理杂志,2018,本文列举两例通过远程监控心电波形及时发现发病，并成功获得救治的案例；其中一个是反复心悸患者远程发现其心率高达200；另一位反复晕厥的男性，发现心脏停搏长达8s以上。最后指出互联网+时代病人管理新模式对人类健康事业提供更全面的保障,3,,,
,插入式腹部按压心肺复苏术抢救心脏骤停70min成功1例,,,青 岛 大 学 学 报,2018,插入式腹部按压心肺复苏术IAC-CPR是将标准心肺复苏术STD-CPR 与腹部按压相结合的一种新型复苏技术，可提高复苏成功率,1,,,
2018/11/6,Heartbeat classification fusing temporal and morphological information of ECGs via ensemble of classifiers,Electrocardiogram (ECG) Heartbeat classification Support vector machine (SVM) Combining classifiers Ensemble of classifiers,"A method for the automatic classification of electrocardiograms (ECG) based on the combination of multiple Support Vector Machines (SVMs) is presented in this work. The method relies on the time intervals between consequent beats and their morphology for the ECG characterisation. Different descriptors based on wavelets, local binary patterns (LBP), higher order statistics (HOS) and several amplitude values were employed. Instead of concatenating all these features to feed a single SVM model, we propose to train specific SVM models for each type of feature. In order to obtain the final prediction, the decisions of the different models are combined with the product, sum, and majority rules. The designed methodology approaches are tested on the public MIT-BIH arrhythmia database, classifying four kinds of abnormal and normal beats. Our approach based on an ensemble of SVMs offered a satisfactory performance, improving the results when compared to a single SVM model using the same features. Additionally, our approach also showed better results in comparison with previous machine learning approaches of the state-of-the-art.",Biomedical Signal Processing and Control,2019,为识别心电信号中的正常（Normal）、室上性异常搏动（Supraventricular ectopic beat）、心室异常搏动（Ventricular ectopic beat）、融合（Fusion）和未知（Unknown beat），该文就特征提取和分类学习两点对MIT-BIH 心律不齐数据库的波形进行处理，仅靠一导联心电信号的QRS波特征，借助多SVMs分类融合方法，实现比当前最先进的分类学习方法（其他研究中识别率最准确）的准确率还高出10%；其中SVMs的分类融合规则包括乘法、多数规则、加法，由心电波形提取的特征包括：R波波峰的180个特征、小波变换的频域特征23个、高阶导数特征10个、和邻域相关的特征59个、形态学特征、RR间期特征（Pre-RR、Post-RR、Local-RR、Global-RR）共8个。2019/1/25Update，该文对于每一个心跳周期的识别沿用MIT-BIH心率不齐库中心脏病学专家对心跳周期的注释。该库对于该文的研究在分类不均方面存在严重的不足，90%以上的数据属于正常心跳分类。,5,TRUE,,
2018/11/7,Premature ventricular contraction analysis for real-time patient monitoring,Wearable ECG sensor PVC ANN Real-time,"Method: Twenty seconds of consecutive ECG beats that were identified empirically to characterise a PVC episode were analysed. Three morphological features and seven statistical features were directly extracted in real time. These features were normalized and fed into an artificial neural network (ANN) classifier for classification. The PVC detector was uploaded into a smartphone to classify each episode as either PVC or non-PVC. Results: The proposed algorithm was tested on the MIT-BIH Arrhythmia, St. Petersburg Institute of Cardiological Technics (INCART) and Shimmer3 ECG databases. The proposed method resulted in an improved sensitivity, positive predictive value and accuracy of 98.7%, 97.8% and 98.6% respectively compared to recently published methods. In addition, the proposed method is suitable for real-time patient monitoring as it is computationally simple and requires only a few seconds of ECG recording to detect a PVC rhythm.",Biomedical Signal Processing and Control,2019,该文研究心电信号中心室提前收缩和非提前收缩（正常）的识别，训练算法采用人工神经网路ANN，每20s提取一批特征，包括时域的统计学特征和行为学特征，实现在智能设备上实时检测PVC波形；因为正常人的波形也会出现心室收缩提前的现象，而病态的波形的主要区别在于这种波形出现的频率比普通人高，因此当该20s数据有95%为正常波形（即不全正常）即标记为正常；对智能设备运行算法的耗电情况进行了统计，可正常工作2.3h；该文主要操作训练的部分，特征来自于三个知名库中已有的notation,5,,,
2018/11/8,,,,,,,,,,
2018/11/12,,,,,,,,,,
2018/11/13,疲劳管理做法监督手册doc9966,,,国际民航组织,2016,通过监测飞行员的被动反应过程来确定疲劳危险，数据来源：报告审计、疲劳小组讨论、事故、疲劳危险检查单等，最后以报告、数学建模、数据分析技术等确定,,,,
,民航管制员疲劳管理参考学习资料,,,中国民用航空局空管行业管理办公室,2017,疲劳的定义、引发条件，以及多种方式的评定方法，包括生理信息监测；科学睡眠、生物节律等的科普,,,,
